x,y,f
-29.5084,7.37631,-217.663
9.75719,27.4381,267.718
-49.696,74.7348,-3714.02
-79.4202,56.5012,-4487.34
46.5295,-67.9053,-3159.6
-33.5666,-13.0008,436.392
-39.2153,41.5067,-1627.7
56.1356,-43.0333,-2415.7
-24.964,10.844,-270.709
56.3998,-81.8193,-4614.59
34.5705,85.7451,2964.26
47.8512,-34.4764,-1649.74
-35.1127,48.3111,-1696.33
25.2153,-18.3999,-463.959
-89.6094,11.5677,-1036.58
-97.529,-16.8641,1644.74
18.6819,-49.859,-931.462
87.9514,27.4989,2418.57
81.1759,-97.178,-7888.51
-83.6182,-96.6603,8082.56
-92.8365,-39.2307,3642.04
38.3211,69.473,2662.28
72.5303,31.1669,2260.54
29.2296,-7.53324,-220.194
-37.5733,36.602,-1375.26
-40.8985,-5.17033,211.458
-13.0851,-19.9746,261.37
53.8397,19.5575,1052.97
-91.4327,-94.716,8660.14
-16.0063,28.2146,-451.611
-31.7901,66.8087,-2123.86
-7.77505,-53.9619,419.557
-17.8152,-79.6462,1418.92
-61.9396,-93.6527,5800.81
-10.0829,-45.0152,453.884
-51.6403,-43.5427,2248.56
55.7743,-51.4647,-2870.41
41.8358,99.843,4177.01
-88.1574,-36.977,3259.79
-16.7922,-81.761,1372.95
-11.2254,-35.6567,400.262
-15.6837,-66.9061,1049.34
81.5752,71.6357,5843.69
-77.1604,-78.8439,6083.62
99.9651,12.2802,1227.6
-0.664238,-5.86671,3.89689
-85.5501,2.67706,-229.023
-6.66206,34.0197,-226.641
-80.2605,21.7421,-1745.04
13.2669,-13.2911,-176.332
97.2918,88.2833,8589.24
33.9431,37.6342,1277.42
-6.84757,56.2634,-385.268
94.4686,-26.6169,-2514.46
76.6562,80.8663,6198.91
63.6251,-87.4457,-5563.74
-16.902,22.3412,-377.61
-25.9635,-12.746,330.931
98.9724,68.4903,6778.65
63.8643,-90.5876,-5785.31
-28.8567,-44.1145,1273
58.8697,69.9306,4116.79
13.1685,21.5461,283.73
56.542,52.2437,2953.96
-27.007,1.6864,-45.5447
-48.6408,76.0773,-3700.46
-5.01962,70.2,-352.377
14.1109,-36.658,-517.277
-75.8512,-19.7019,1494.41
-67.0948,60.3438,-4048.76
-49.0644,65.7452,-3225.75
-29.7453,-13.0953,389.525
-21.5516,-70.7026,1523.76
-37.8097,-56.3983,2132.4
84.9202,43.057,3656.41
-54.307,-60.8897,3306.73
-33.8999,71.9842,-2440.26
-43.2169,-0.23788,10.2804
-4.75029,36.4402,-173.101
78.037,-52.4906,-4096.21
42.5222,-73.0731,-3107.23
62.7186,-83.3853,-5229.81
97.0263,-66.8016,-6481.51
-77.6784,24.2188,-1881.28
69.4023,-96.4367,-6692.93
-52.0821,-55.9448,2913.72
-96.0356,23.0458,-2213.21
-27.6926,4.70027,-130.163
41.3342,-61.7931,-2554.17
-94.0242,93.9418,-8832.8
64.9864,77.1415,5013.15
-7.69354,-23.0311,177.191
-70.4781,-85.4582,6022.93
-45.7236,-82.4375,3769.34
29.5145,-72.1759,-2130.23
5.00607,-9.18958,-46.0037
-4.94668,-61.995,306.669
-93.863,87.2529,-8189.81
-7.53353,-51.0711,384.746
-79.9816,-82.8379,6625.51
53.8097,-43.0618,-2317.14
-56.0807,-68.5742,3845.68
77.3679,5.18228,400.942
-98.246,41.8713,-4113.69
41.0869,8.63728,354.879
61.9407,-4.5141,-279.606
87.2623,-50.821,-4434.76
21.0875,37.2752,786.042
62.9871,7.95235,500.896
-88.5644,46.1751,-4089.47
62.1823,-43.0237,-2675.32
20.2874,-46.3844,-941.021
8.6234,97.9738,844.867
-75.1616,76.2073,-5727.87
45.6457,-17.0867,-779.934
51.3867,-24.4905,-1258.48
14.1973,63.8706,906.789
-39.0651,-91.7966,3586.05
57.3877,43.9973,2524.9
65.9207,-23.3037,-1536.19
-98.1754,-90.3195,8867.15
33.9601,-78.8172,-2676.64
58.0964,-31.0408,-1803.36
4.90146,90.3662,442.926
-9.01106,-11.8471,106.755
-37.7041,-69.3358,2614.24
81.9806,14.1003,1155.95
87.6603,3.53126,309.552
73.4678,-62.2055,-4570.1
36.2653,46.5712,1688.92
-8.14661,94.3426,-768.572
14.9716,65.8614,986.051
26.141,57.993,1515.99
49.6483,-11.0235,-547.3
62.6179,90.6129,5673.99
-18.8693,23.9323,-451.584
32.6012,-98.8492,-3222.6
43.6673,38.6492,1687.71
-84.4011,7.00562,-591.282
3.708,59.5699,220.886
60.005,69.6414,4178.83
61.1785,-94.4276,-5776.94
-19.3796,95.7649,-1855.89
94.4842,-30.2969,-2862.58
-45.6658,-26.4588,1208.26
9.86292,-44.7212,-441.082
16.8958,-60.7852,-1027.02
26.305,79.3362,2086.94
-73.6892,48.4345,-3569.1
-4.37022,-81.579,356.519
16.8127,77.1442,1297
-53.2079,17.3748,-924.476
95.8672,96.0387,9206.96
-87.5572,-42.7229,3740.7
-26.0698,-76.6947,1999.41
-7.84107,88.6574,-695.169
-27.5795,57.6239,-1589.24
13.8767,26.3715,365.949
56.6836,23.3809,1325.31
-61.9352,19.6544,-1217.3
-51.5384,-85.8473,4424.44
90.0466,5.1671,465.28
-59.4065,-93.3836,5547.59
-2.31241,95.999,-221.989
93.2029,-25.6432,-2390.02
-58.2965,-5.2656,306.966
46.1528,3.90427,180.193
76.6282,-79.8632,-6119.77
-47.0086,-82.6147,3883.6
68.2025,-24.1601,-1647.78
28.8585,89.9242,2595.08
-74.052,-58.1837,4308.62
10.3169,29.9477,308.966
73.6614,-66.7457,-4916.59
81.2378,-94.8751,-7707.45
70.3995,-93.94,-6613.33
81.2797,-39.044,-3173.49
-19.557,51.7177,-1011.44
51.8736,43.4045,2251.55
-41.8205,11.321,-473.448
-45.7585,80.0123,-3661.25
52.92,86.8868,4598.05
40.5772,-30.8077,-1250.09
-73.6033,-75.2469,5538.42
2.12635,65.6877,139.675
-94.1319,-14.645,1378.56
24.4364,26.7156,652.834
-99.3649,-17.3248,1721.48
-6.57905,-3.31356,21.8001
61.864,-35.1082,-2171.93
-64.8995,68.6258,-4453.78
83.7067,49.3134,4127.86
-26.7134,-40.2824,1076.08
-86.3592,72.651,-6274.08
31.4244,70.1958,2205.86
41.6781,-87.3123,-3639.01
-5.48096,-14.9301,81.8311
-12.2027,-29.7179,362.639
78.2414,-12.0012,-938.987
-90.6381,63.8987,-5791.66
70.471,-82.7196,-5829.33
-29.3323,-62.1728,1823.67
20.7638,-97.5805,-2026.14
28.1635,-14.2687,-401.856
-95.2736,71.8567,-6846.04
78.557,-72.5704,-5700.92
-56.711,-93.0518,5277.06
-74.7413,5.17177,-386.545
-52.8745,35.4267,-1873.17
-93.6754,44.6797,-4185.39
-39.0942,-67.538,2640.34
60.8411,84.3535,5132.16
-52.3645,-60.8634,3187.08
51.7123,63.8573,3302.21
-38.3435,28.3566,-1087.29
-7.06387,-84.5831,597.484
-65.0313,15.6907,-1020.39
-44.5963,-92.891,4142.59
-39.2911,-13.4091,526.858
-32.6116,61.6163,-2009.41
-15.4856,42.617,-659.95
77.1007,47.7665,3682.84
-79.6729,-2.00137,159.455
72.2023,53.1995,3841.12
-95.2474,33.404,-3181.64
75.4671,-95.2725,-7189.93
9.65034,8.77379,84.67
-85.2093,-74.8067,6374.23
-75.6741,3.50815,-265.476
67.5041,72.9954,4927.49
